title,description,text,effort_hours
Mettre en place Système de vidéoconférence intégrée,Appels vidéo entre utilisateurs directement dans l'application avec partage d'écran,Mettre en place Système de vidéoconférence intégrée Appels vidéo entre utilisateurs directement dans l'application avec partage d'écran,50.3
Moteur de scoring prédictif client,Modèle prédictif qui score les clients selon leur probabilité de conversion,Moteur de scoring prédictif client Modèle prédictif qui score les clients selon leur probabilité de conversion,48.4
Système de notifications,Notifications en base de données affichées dans une cloche avec compteur non lus,Système de notifications Notifications en base de données affichées dans une cloche avec compteur non lus,16.5
Développer : Calendrier des événements,Calendrier interactif affichant les événements avec vue mois/semaine,Développer : Calendrier des événements Calendrier interactif affichant les événements avec vue mois/semaine,15.9
Affichage des commentaires,"Liste des commentaires sous un article, sans modération","Affichage des commentaires Liste des commentaires sous un article, sans modération",5.0
Architecture microservices pour module critique,Refonte d'un module en microservice indépendant avec communication asynchrone,Architecture microservices pour module critique Refonte d'un module en microservice indépendant avec communication asynchrone,49.0
Mettre en place Système de reconnaissance d'image,Intégration d'un modèle de vision par ordinateur pour classifier des images uploadées,Mettre en place Système de reconnaissance d'image Intégration d'un modèle de vision par ordinateur pour classifier des images uploadées,60.8
Développer : Système de messagerie interne,"Chat simple entre utilisateurs avec historique des messages, sans temps réel","Développer : Système de messagerie interne Chat simple entre utilisateurs avec historique des messages, sans temps réel",19.4
Développer : Export PDF de rapport,Génération de rapports PDF dynamiques avec mise en page personnalisée,Développer : Export PDF de rapport Génération de rapports PDF dynamiques avec mise en page personnalisée,12.6
Ajout d'un système de favoris,Bouton pour ajouter/retirer un élément des favoris de l'utilisateur,Ajout d'un système de favoris Bouton pour ajouter/retirer un élément des favoris de l'utilisateur,6.0
Mettre en place Système de recommandation de produits,Moteur de recommandation basé sur l'historique d'achat et le comportement de l'utilisateur,Mettre en place Système de recommandation de produits Moteur de recommandation basé sur l'historique d'achat et le comportement de l'utilisateur,44.2
Liste des produits avec filtres simples,Affichage produits avec filtre par catégorie uniquement,Liste des produits avec filtres simples Affichage produits avec filtre par catégorie uniquement,7.0
Développer : Synchronisation temps réel multi-utilisateurs,Édition collaborative en temps réel avec gestion des conflits entre plusieurs utilisateurs,Développer : Synchronisation temps réel multi-utilisateurs Édition collaborative en temps réel avec gestion des conflits entre plusieurs utilisateurs,54.2
Ajouter la fonctionnalité : Historique des actions utilisateur,Journal (log) qui trace les actions importantes effectuées par chaque utilisateur,Ajouter la fonctionnalité : Historique des actions utilisateur Journal (log) qui trace les actions importantes effectuées par chaque utilisateur,12.0
Module de reporting avancé avec export multi-format,"Génération de rapports complexes avec agrégations, filtres dynamiques et export PDF/Excel","Module de reporting avancé avec export multi-format Génération de rapports complexes avec agrégations, filtres dynamiques et export PDF/Excel",35.9
Mettre en place Module de facturation automatique récurrente,Génération automatique de factures récurrentes avec gestion des abonnements et relances,Mettre en place Module de facturation automatique récurrente Génération automatique de factures récurrentes avec gestion des abonnements et relances,36.5
Intelligence artificielle de détection de fraude,Modèle de machine learning pour détecter les transactions frauduleuses en temps réel,Intelligence artificielle de détection de fraude Modèle de machine learning pour détecter les transactions frauduleuses en temps réel,68.1
Système de recherche full-text avec Elasticsearch,Intégration d'un moteur de recherche performant avec indexation et pertinence des résultats,Système de recherche full-text avec Elasticsearch Intégration d'un moteur de recherche performant avec indexation et pertinence des résultats,35.0
Mettre en place Système de sécurité avec détection d'anomalies,Surveillance en temps réel du système avec détection d'anomalies via machine learning,Mettre en place Système de sécurité avec détection d'anomalies Surveillance en temps réel du système avec détection d'anomalies via machine learning,56.9
Créer formulaire de contact,"Ajouter un formulaire simple avec nom, email et message, envoyé par mail","Créer formulaire de contact Ajouter un formulaire simple avec nom, email et message, envoyé par mail",6.0
Système de notifications,Notifications en base de données affichées dans une cloche avec compteur non lus,Système de notifications Notifications en base de données affichées dans une cloche avec compteur non lus,18.3
Créer Page 404 personnalisée,Page d'erreur personnalisée avec redirection vers l'accueil,Créer Page 404 personnalisée Page d'erreur personnalisée avec redirection vers l'accueil,2.3
Ajouter la fonctionnalité : Ajout d'un système de favoris,Bouton pour ajouter/retirer un élément des favoris de l'utilisateur,Ajouter la fonctionnalité : Ajout d'un système de favoris Bouton pour ajouter/retirer un élément des favoris de l'utilisateur,6.6
Ajouter la fonctionnalité : Changer le mot de passe,Formulaire simple de changement de mot de passe avec validation basique,Ajouter la fonctionnalité : Changer le mot de passe Formulaire simple de changement de mot de passe avec validation basique,5.7
Système de vidéoconférence intégrée,Appels vidéo entre utilisateurs directement dans l'application avec partage d'écran,Système de vidéoconférence intégrée Appels vidéo entre utilisateurs directement dans l'application avec partage d'écran,55.0
Mettre en place Changer le mot de passe,Formulaire simple de changement de mot de passe avec validation basique,Mettre en place Changer le mot de passe Formulaire simple de changement de mot de passe avec validation basique,5.7
Développer : Système de messagerie interne,"Chat simple entre utilisateurs avec historique des messages, sans temps réel","Développer : Système de messagerie interne Chat simple entre utilisateurs avec historique des messages, sans temps réel",21.0
Estimation automatique de l'effort par IA,Modèle de machine learning qui prédit l'effort nécessaire à partir de la description d'une tâche,Estimation automatique de l'effort par IA Modèle de machine learning qui prédit l'effort nécessaire à partir de la description d'une tâche,51.4
Créer Upload et gestion d'images,Permettre l'upload d'images avec redimensionnement et stockage sécurisé,Créer Upload et gestion d'images Permettre l'upload d'images avec redimensionnement et stockage sécurisé,16.0
Plateforme temps réel multi-tenant à grande échelle,Architecture supportant plusieurs organisations simultanément avec isolation des données et scalabilité,Plateforme temps réel multi-tenant à grande échelle Architecture supportant plusieurs organisations simultanément avec isolation des données et scalabilité,63.2
Ajouter la fonctionnalité : Intelligence artificielle de détection de fraude,Modèle de machine learning pour détecter les transactions frauduleuses en temps réel,Ajouter la fonctionnalité : Intelligence artificielle de détection de fraude Modèle de machine learning pour détecter les transactions frauduleuses en temps réel,54.4
Page de contact avec carte,Formulaire de contact avec une carte Google Maps intégrée,Page de contact avec carte Formulaire de contact avec une carte Google Maps intégrée,5.7
Créer Afficher liste des utilisateurs,Page qui affiche la liste des utilisateurs avec pagination simple,Créer Afficher liste des utilisateurs Page qui affiche la liste des utilisateurs avec pagination simple,4.7
Ajout d'un menu de navigation,Menu responsive avec liens vers les pages principales,Ajout d'un menu de navigation Menu responsive avec liens vers les pages principales,4.0
Calendrier des événements,Calendrier interactif affichant les événements avec vue mois/semaine,Calendrier des événements Calendrier interactif affichant les événements avec vue mois/semaine,17.4
Créer Système de reconnaissance d'image,Intégration d'un modèle de vision par ordinateur pour classifier des images uploadées,Créer Système de reconnaissance d'image Intégration d'un modèle de vision par ordinateur pour classifier des images uploadées,56.8
Développer : Système de notifications,Notifications en base de données affichées dans une cloche avec compteur non lus,Développer : Système de notifications Notifications en base de données affichées dans une cloche avec compteur non lus,16.2
Mettre en place Système de cache distribué,Mise en place de Redis pour la mise en cache distribuée sur plusieurs instances serveur,Mettre en place Système de cache distribué Mise en place de Redis pour la mise en cache distribuée sur plusieurs instances serveur,28.1
Créer Dashboard avec statistiques,Tableau de bord affichant des graphiques et indicateurs clés à partir de la base de données,Créer Dashboard avec statistiques Tableau de bord affichant des graphiques et indicateurs clés à partir de la base de données,17.9
Développer : Plateforme temps réel multi-tenant à grande échelle,Architecture supportant plusieurs organisations simultanément avec isolation des données et scalabilité,Développer : Plateforme temps réel multi-tenant à grande échelle Architecture supportant plusieurs organisations simultanément avec isolation des données et scalabilité,65.2
Développer : Ajouter un champ de recherche,Barre de recherche simple qui filtre une liste côté client,Développer : Ajouter un champ de recherche Barre de recherche simple qui filtre une liste côté client,3.5
Développer : Page à propos statique,Page HTML statique avec texte de présentation de l'entreprise,Développer : Page à propos statique Page HTML statique avec texte de présentation de l'entreprise,2.2
Créer Système de tags et étiquettes,Ajout d'un système de tags réutilisables sur plusieurs entités,Créer Système de tags et étiquettes Ajout d'un système de tags réutilisables sur plusieurs entités,11.7
Synchronisation temps réel multi-utilisateurs,Édition collaborative en temps réel avec gestion des conflits entre plusieurs utilisateurs,Synchronisation temps réel multi-utilisateurs Édition collaborative en temps réel avec gestion des conflits entre plusieurs utilisateurs,47.0
Export PDF de rapport,Génération de rapports PDF dynamiques avec mise en page personnalisée,Export PDF de rapport Génération de rapports PDF dynamiques avec mise en page personnalisée,13.3
Créer Système de sécurité avec détection d'anomalies,Surveillance en temps réel du système avec détection d'anomalies via machine learning,Créer Système de sécurité avec détection d'anomalies Surveillance en temps réel du système avec détection d'anomalies via machine learning,57.8
Créer Système de recommandation de produits,Moteur de recommandation basé sur l'historique d'achat et le comportement de l'utilisateur,Créer Système de recommandation de produits Moteur de recommandation basé sur l'historique d'achat et le comportement de l'utilisateur,49.0
Ajouter la fonctionnalité : Chatbot intelligent avec NLP,Assistant conversationnel utilisant le traitement du langage naturel pour répondre aux questions clients,Ajouter la fonctionnalité : Chatbot intelligent avec NLP Assistant conversationnel utilisant le traitement du langage naturel pour répondre aux questions clients,55.6
Mettre en place Système de messagerie en temps réel,"Chat en temps réel entre utilisateurs avec WebSockets, indicateurs de frappe et statut en ligne","Mettre en place Système de messagerie en temps réel Chat en temps réel entre utilisateurs avec WebSockets, indicateurs de frappe et statut en ligne",44.4
Afficher liste des utilisateurs,Page qui affiche la liste des utilisateurs avec pagination simple,Afficher liste des utilisateurs Page qui affiche la liste des utilisateurs avec pagination simple,5.0
Export PDF de rapport,Génération de rapports PDF dynamiques avec mise en page personnalisée,Export PDF de rapport Génération de rapports PDF dynamiques avec mise en page personnalisée,13.0
Développer : Historique des actions utilisateur,Journal (log) qui trace les actions importantes effectuées par chaque utilisateur,Développer : Historique des actions utilisateur Journal (log) qui trace les actions importantes effectuées par chaque utilisateur,12.8
Système de recherche full-text avec Elasticsearch,Intégration d'un moteur de recherche performant avec indexation et pertinence des résultats,Système de recherche full-text avec Elasticsearch Intégration d'un moteur de recherche performant avec indexation et pertinence des résultats,37.2
Ajouter la fonctionnalité : Ajout d'un système de favoris,Bouton pour ajouter/retirer un élément des favoris de l'utilisateur,Ajouter la fonctionnalité : Ajout d'un système de favoris Bouton pour ajouter/retirer un élément des favoris de l'utilisateur,5.4
Gestion des fichiers joints,"Permettre l'ajout de plusieurs fichiers (pdf, image) à une tâche avec prévisualisation","Gestion des fichiers joints Permettre l'ajout de plusieurs fichiers (pdf, image) à une tâche avec prévisualisation",15.0
Développer : Système d'authentification à deux facteurs,Ajout de la 2FA par SMS ou application d'authentification avec gestion de la récupération,Développer : Système d'authentification à deux facteurs Ajout de la 2FA par SMS ou application d'authentification avec gestion de la récupération,30.1
Développer : Système de rôles et permissions,"Gestion de rôles (admin, manager, user) avec permissions différenciées par page","Développer : Système de rôles et permissions Gestion de rôles (admin, manager, user) avec permissions différenciées par page",22.7
Mettre en place Système de notifications,Notifications en base de données affichées dans une cloche avec compteur non lus,Mettre en place Système de notifications Notifications en base de données affichées dans une cloche avec compteur non lus,18.6
Mettre en place Calendrier des événements,Calendrier interactif affichant les événements avec vue mois/semaine,Mettre en place Calendrier des événements Calendrier interactif affichant les événements avec vue mois/semaine,19.8
Créer Système de cache distribué,Mise en place de Redis pour la mise en cache distribuée sur plusieurs instances serveur,Créer Système de cache distribué Mise en place de Redis pour la mise en cache distribuée sur plusieurs instances serveur,29.5
Développer : Système de sécurité avec détection d'anomalies,Surveillance en temps réel du système avec détection d'anomalies via machine learning,Développer : Système de sécurité avec détection d'anomalies Surveillance en temps réel du système avec détection d'anomalies via machine learning,56.6
